Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"da Silva, José Diego Saraiva; Neto, José Gameleira; Kulesza, Uirá; Freitas, Guilherme; Reboucas, Rodrigo; Coelho, Roberta; ",Exploring technical debt tools: A systematic mapping study,International Conference on Enterprise Information Systems,,,280-303,2021,Springer
"Bi, Fandi; Vogel-Heuser, Birgit; Huang, Ziyi; Ocker, Felix; ","Characteristics, causes, and consequences of technical debt in the automation domain",Journal of Systems and Software,204,,111725,2023,Elsevier
"Kruchten, Philippe; Ozkaya, Ipek; ",Managing technical debt: reducing friction in software development,,,,,2019,Addison-Wesley Professional
"Molnar, Arthur-Jozsef; Motogna, Simona; ",Long-term evaluation of technical debt in open-source software,Proceedings of the 14th ACM/IEEE International Symposium on Empirical Software Engineering and Measurement (ESEM),,,1-9,2020,
"Yli-Huumo, Jesse; Maglyas, Andrey; Smolander, Kari; ",How do software development teams manage technical debt?–An empirical study,Journal of Systems and Software,120,,195-218,2016,Elsevier
"Lenarduzzi, Valentina; Besker, Terese; Taibi, Davide; Martini, Antonio; Fontana, Francesca Arcelli; ","A systematic literature review on technical debt prioritization: Strategies, processes, factors, and tools",Journal of Systems and Software,171,,110827,2021,Elsevier
"Verdecchia, Roberto; Maggi, Kevin; ",Technical Debt in Microservices: A Mixed-Method Case Study,,,,,,
"Li, Zengyang; Liang, Peng; Avgeriou, Paris; ",Architectural debt management in value-oriented architecting,Economics-Driven Software Architecture,,,183-204,2014,Elsevier
"Pandi, Srinivas Babu; Binta, Samia A; Kaushal, Savita; ",Artificial intelligence for technical debt management in software development,arXiv preprint arXiv:2306.10194,,,,2023,
"del Carpio, Paul Mendoza; ",Using Naming Patterns for Identifying Architectural Technical Debt,,,,,,
"BenIdris, Mrwan; ","Investigate, identify and estimate the technical debt: a systematic mapping study",Available at SSRN 3606172,,,,2020,
"Daoudi, Sara; Larsson, Malin; Hacks, Simon; Jung, Jürgen; ",Discovering and assessing enterprise architecture debts,Complex Systems Informatics and Modeling Quarterly,,35,1-29,2023,
